type,desc
"Sales, Marketing & Events","engloba todos os gastos relacionados a atividades de vendas, marketing e eventos, como despesas de publicidade, eventos promocionais, materiais de marketing e patrocínios."
R&D Equipment (incl. Equipment Services and Supplies),"abrange os gastos associados à pesquisa e desenvolvimento, incluindo equipamentos de laboratório, suprimentos de pesquisa, serviços de equipamentos e outras despesas relacionadas à inovação e desenvolvimento de produtos."
Real Estate & Facilities,"inclui despesas relacionadas a imóveis e instalações, como aluguéis, manutenção predial, limpeza, segurança e outros custos associados à gestão de propriedades e infraestrutura física."
Technology/Telecom,"envolve todos os gastos relacionados a tecnologia e telecomunicações, incluindo software, hardware, serviços de internet, telefonia, redes e quaisquer outras despesas relacionadas à infraestrutura de TI e comunicação."
Tax,"abrange todas as despesas relacionadas a obrigações fiscais, incluindo consultoria tributária, preparação de impostos, custos regulatórios e quaisquer outros encargos associados a conformidade fiscal."
Professional Services,"engloba os gastos relacionados a serviços profissionais externos, como consultoria, assessoria jurídica, contabilidade, serviços de recrutamento e quaisquer outros serviços especializados utilizados pela empresa."
Energy & Utilities,"inclui todos os custos relacionados a energia e utilidades, como eletricidade, água, gás e quaisquer outras despesas associadas ao fornecimento de serviços públicos para a operação da empresa."
Manufacturing,"abrange os gastos relacionados à produção e fabricação de bens, incluindo matérias-primas, equipamentos de produção, mão de obra fabril e outros custos associados à fabricação de produtos."
Travel & Expense,"engloba todos os gastos relacionados a viagens de negócios e despesas associadas, como passagens aéreas, hospedagem, refeições, transporte local e outras despesas de viagem."
Human Resources,"inclui todos os gastos relacionados à gestão de recursos humanos, como salários, benefícios dos funcionários, recrutamento, treinamento, desenvolvimento de funcionários e quaisquer outras despesas associadas à força de trabalho."
Logistics,"abrange os gastos relacionados à logística e cadeia de suprimentos, incluindo transporte de mercadorias, armazenamento, gestão de estoque, embalagem e quaisquer outras despesas associadas à movimentação de produtos e materiais."
